city,street,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
SACRAMENTO,3526 HIGH ST,95838,CA,2,1,836,Residential,Wed May 21 00:00:00 EDT 2008,59222,38.631913,-121.43487900000001
SACRAMENTO,51 OMAHA CT,95823,CA,3,1,1167,Residential,Wed May 21 00:00:00 EDT 2008,68212,38.478902000000005,-121.431028
SACRAMENTO,2796 BRANCH ST,95815,CA,2,1,796,Residential,Wed May 21 00:00:00 EDT 2008,68880,38.618305,-121.44383899999998
SACRAMENTO,2805 JANETTE WAY,95815,CA,2,1,852,Residential,Wed May 21 00:00:00 EDT 2008,69307,38.616834999999995,-121.439146
SACRAMENTO,6001 MCMAHON DR,95824,CA,2,1,797,Residential,Wed May 21 00:00:00 EDT 2008,81900,38.51947,-121.435768
SACRAMENTO,5828 PEPPERMILL CT,95841,CA,3,1,1122,Condo,Wed May 21 00:00:00 EDT 2008,89921,38.662595,-121.32781299999999
SACRAMENTO,6048 OGDEN NASH WAY,95842,CA,3,2,1104,Residential,Wed May 21 00:00:00 EDT 2008,90895,38.681659,-121.35170500000001
SACRAMENTO,2561 19TH AVE,95820,CA,3,1,1177,Residential,Wed May 21 00:00:00 EDT 2008,91002,38.535092,-121.48136699999999
RANCHO CORDOVA,11150 TRINITY RIVER DR Unit 114,95670,CA,2,2,941,Condo,Wed May 21 00:00:00 EDT 2008,94905,38.621188000000004,-121.270555
RIO LINDA,7325 10TH ST,95673,CA,3,2,1146,Residential,Wed May 21 00:00:00 EDT 2008,98937,38.700909,-121.44297900000001
SACRAMENTO,645 MORRISON AVE,95838,CA,3,2,909,Residential,Wed May 21 00:00:00 EDT 2008,100309,38.637663,-121.45152
SACRAMENTO,4085 FAWN CIR,95823,CA,3,2,1289,Residential,Wed May 21 00:00:00 EDT 2008,106250,38.470746000000005,-121.458918
SACRAMENTO,2930 LA ROSA RD,95815,CA,1,1,871,Residential,Wed May 21 00:00:00 EDT 2008,106852,38.618697999999995,-121.435833
SACRAMENTO,2113 KIRK WAY,95822,CA,3,1,1020,Residential,Wed May 21 00:00:00 EDT 2008,107502,38.482215000000004,-121.492603
SACRAMENTO,4533 LOCH HAVEN WAY,95842,CA,2,2,1022,Residential,Wed May 21 00:00:00 EDT 2008,108750,38.672914,-121.35933999999999
SACRAMENTO,7340 HAMDEN PL,95842,CA,2,2,1134,Condo,Wed May 21 00:00:00 EDT 2008,110700,38.700051,-121.35127800000001
RIO LINDA,6715 6TH ST,95673,CA,2,1,844,Residential,Wed May 21 00:00:00 EDT 2008,113263,38.689591,-121.45223899999999
CITRUS HEIGHTS,6236 LONGFORD DR Unit 1,95621,CA,2,1,795,Condo,Wed May 21 00:00:00 EDT 2008,116250,38.679776000000004,-121.314089
SACRAMENTO,250 PERALTA AVE,95833,CA,2,1,588,Residential,Wed May 21 00:00:00 EDT 2008,120000,38.612099,-121.469095
RIO LINDA,113 LEEWILL AVE,95673,CA,3,2,1356,Residential,Wed May 21 00:00:00 EDT 2008,121630,38.689999,-121.46321999999999
CITRUS HEIGHTS,6118 STONEHAND AVE,95621,CA,3,2,1118,Residential,Wed May 21 00:00:00 EDT 2008,122000,38.707851,-121.32070700000001
SACRAMENTO,4882 BANDALIN WAY,95823,CA,4,2,1329,Residential,Wed May 21 00:00:00 EDT 2008,122682,38.468173,-121.444071
NORTH HIGHLANDS,7511 OAKVALE CT,95660,CA,4,2,1240,Residential,Wed May 21 00:00:00 EDT 2008,123000,38.702791999999995,-121.38221000000001
SACRAMENTO,9 PASTURE CT,95834,CA,3,2,1601,Residential,Wed May 21 00:00:00 EDT 2008,124100,38.628631,-121.488097
NORTH HIGHLANDS,3729 BAINBRIDGE DR,95660,CA,3,2,901,Residential,Wed May 21 00:00:00 EDT 2008,125000,38.701499,-121.37621999999999
ANTELOPE,3828 BLACKFOOT WAY,95843,CA,3,2,1088,Residential,Wed May 21 00:00:00 EDT 2008,126640,38.709740000000004,-121.37377
SACRAMENTO,4108 NORTON WAY,95820,CA,3,1,963,Residential,Wed May 21 00:00:00 EDT 2008,127281,38.537526,-121.478315
SACRAMENTO,1469 JANRICK AVE,95832,CA,3,2,1119,Residential,Wed May 21 00:00:00 EDT 2008,129000,38.476471999999994,-121.50171100000001
SACRAMENTO,9861 CULP WAY,95827,CA,4,2,1380,Residential,Wed May 21 00:00:00 EDT 2008,131200,38.558423,-121.32794799999999
SACRAMENTO,7825 CREEK VALLEY CIR,95828,CA,3,2,1248,Residential,Wed May 21 00:00:00 EDT 2008,132000,38.472122,-121.404199
ELK GROVE,5201 LAGUNA OAKS DR Unit 140,95758,CA,2,2,1039,Condo,Wed May 21 00:00:00 EDT 2008,133000,38.423251,-121.44448899999999
NORTH HIGHLANDS,6768 MEDORA DR,95660,CA,3,2,1152,Residential,Wed May 21 00:00:00 EDT 2008,134555,38.691161,-121.37191999999999
SACRAMENTO,3100 EXPLORER DR,95827,CA,3,2,1380,Residential,Wed May 21 00:00:00 EDT 2008,136500,38.566663,-121.33264399999999
ELVERTA,7944 DOMINION WAY,95626,CA,3,2,1116,Residential,Wed May 21 00:00:00 EDT 2008,138750,38.713182,-121.411227
ELK GROVE,5201 LAGUNA OAKS DR Unit 162,95758,CA,2,2,1039,Condo,Wed May 21 00:00:00 EDT 2008,141000,38.423251,-121.44448899999999
SACRAMENTO,3920 SHINING STAR DR,95823,CA,3,2,1418,Residential,Wed May 21 00:00:00 EDT 2008,146250,38.48742,-121.46245900000001
